GENERAL INFO
name,null
elevation (m),2391.061717373319
aspect,null
air temperature (c),null
slope angle (deg),null
profilePrivacy,public
totalSnowDepth (cm),null
freeText,null
collectionTime,Dec 6 2024 13:42 MST
collectionTime (Unix Time),1733517731.0
creator name,HP Marshall
org name,null
Location,43.940913298629376,-115.70171377376477

SCOPE PROFILE
testNum,31
serialNum,00381
profileDepth (mm),965
batteryCapacity,0
errorCode,0
temperature,-1
FW_version,2.2.0
PCB_version,v2.7
depth (mm),hardness (kPa),
1,1.49,null
2,2.43,null
3,2.43,null
4,2.48,null
5,2.73,null
6,2.28,null
7,2.78,null
8,2.23,null
9,2.73,null
10,2.63,null
11,2.63,null
12,2.63,null
13,2.38,null
14,2.33,null
15,2.48,null
16,2.73,null
17,3.28,null
18,3.48,null
19,3.92,null
20,3.18,null
21,3.28,null
22,3.48,null
23,3.62,null
24,4.17,null
25,3.92,null
26,4.77,null
27,4.82,null
28,5.02,null
29,5.12,null
30,5.12,null
31,5.02,null
32,4.67,null
33,4.07,null
34,4.82,null
35,4.57,null
36,4.52,null
37,6.26,null
38,5.71,null
39,6.51,null
40,6.71,null
41,6.01,null
42,6.86,null
43,7.15,null
44,7.2,null
45,6.71,null
46,6.46,null
47,7.01,null
48,6.91,null
49,6.21,null
50,6.16,null
51,6.26,null
52,5.76,null
53,5.51,null
54,5.76,null
55,4.87,null
56,6.56,null
57,5.91,null
58,5.56,null
59,5.61,null
60,5.41,null
61,5.41,null
62,5.07,null
63,5.81,null
64,6.66,null
65,6.21,null
66,5.71,null
67,5.96,null
68,5.71,null
69,5.61,null
70,5.61,null
71,7.35,null
72,6.76,null
73,7.2,null
74,7.01,null
75,7.1,null
76,7.65,null
77,7.7,null
78,8.25,null
79,8.3,null
80,7.75,null
81,8.1,null
82,8.1,null
83,7.6,null
84,8.55,null
85,9.39,null
86,8.5,null
87,10.44,null
88,10.44,null
89,11.53,null
90,10.88,null
91,9.89,null
92,10.39,null
93,10.64,null
94,13.12,null
95,12.77,null
96,15.66,null
97,13.92,null
98,15.41,null
99,15.21,null
100,14.71,null
101,13.37,null
102,15.41,null
103,15.61,null
104,15.36,null
105,13.42,null
106,14.71,null
107,15.16,null
108,13.42,null
109,13.42,null
110,16.15,null
111,14.02,null
112,14.36,null
113,13.22,null
114,15.06,null
115,14.21,null
116,14.51,null
117,14.66,null
118,13.62,null
119,14.46,null
120,15.06,null
121,15.06,null
122,14.61,null
123,15.46,null
124,14.21,null
125,14.17,null
126,12.82,null
127,14.26,null
128,13.67,null
129,13.27,null
130,12.87,null
131,14.51,null
132,14.61,null
133,13.27,null
134,15.21,null
135,15.21,null
136,13.77,null
137,15.11,null
138,14.12,null
139,17.2,null
140,15.06,null
141,17.2,null
142,18.84,null
143,16.8,null
144,16.25,null
145,17.1,null
146,17.79,null
147,15.41,null
148,17.84,null
149,17.84,null
150,17.79,null
151,15.86,null
152,16.15,null
153,15.31,null
154,14.46,null
155,14.81,null
156,15.21,null
157,14.61,null
158,15.26,null
159,14.36,null
160,14.17,null
161,15.46,null
162,14.17,null
163,14.86,null
164,14.86,null
165,14.26,null
166,17.75,null
167,15.81,null
168,16.25,null
169,17.4,null
170,17.45,null
171,15.66,null
172,21.37,null
173,21.18,null
174,19.34,null
175,24.06,null
176,22.57,null
177,23.76,null
178,19.78,null
179,17.89,null
180,22.32,null
181,22.32,null
182,17.45,null
183,17.4,null
184,16.2,null
185,16.8,null
186,15.21,null
187,15.46,null
188,17.3,null
189,18.14,null
190,20.08,null
191,20.78,null
192,20.43,null
193,20.43,null
194,19.83,null
195,19.73,null
196,19.73,null
197,20.03,null
198,20.03,null
199,20.73,null
200,20.33,null
201,18.64,null
202,19.29,null
203,20.33,null
204,19.14,null
205,16.6,null
206,17.5,null
207,17.84,null
208,18.14,null
209,17.7,null
210,17.7,null
211,19.14,null
212,18.39,null
213,18.39,null
214,17.3,null
215,17.3,null
216,21.92,null
217,16.75,null
218,20.43,null
219,19.88,null
220,21.18,null
221,19.88,null
222,18.34,null
223,19.63,null
224,19.58,null
225,18.69,null
226,22.32,null
227,21.97,null
228,21.97,null
229,20.68,null
230,17.89,null
231,17.89,null
232,21.28,null
233,21.28,null
234,12.03,null
235,13.37,null
236,11.68,null
237,7.75,null
238,15.71,null
239,5.32,null
240,33.36,null
241,12.08,null
242,7.1,null
243,6.21,null
244,35.74,null
245,34.5,null
246,34.5,null
247,35.74,null
248,28.04,null
249,21.87,null
250,23.81,null
251,23.81,null
252,23.81,null
253,10.39,null
254,30.13,null
255,28.93,null
256,3.43,null
257,3.48,null
258,1.44,null
259,5.91,null
260,8.25,null
261,3.62,null
262,4.37,null
263,9.04,null
264,11.43,null
265,11.43,null
266,8.1,null
267,14.66,null
268,16.2,null
269,13.77,null
270,13.77,null
271,13.77,null
272,13.22,null
273,20.93,null
274,20.93,null
275,14.41,null
276,14.41,null
277,13.12,null
278,16.3,null
279,17.84,null
280,19.53,null
281,14.51,null
282,16.35,null
283,27.84,null
284,31.72,null
285,31.72,null
286,24.36,null
287,52.05,null
288,48.72,null
289,37.14,null
290,37.14,null
291,37.14,null
292,37.93,null
293,37.93,null
294,45.49,null
295,43.0,null
296,17.2,null
297,17.2,null
298,20.98,null
299,17.05,null
300,14.91,null
301,15.86,null
302,17.2,null
303,14.02,null
304,17.4,null
305,18.54,null
306,18.54,null
307,15.91,null
308,19.88,null
309,19.04,null
310,21.18,null
311,21.18,null
312,21.18,null
313,19.88,null
314,20.43,null
315,18.54,null
316,21.67,null
317,21.67,null
318,19.04,null
319,19.98,null
320,21.42,null
321,21.42,null
322,23.07,null
323,23.07,null
324,19.58,null
325,21.42,null
326,21.42,null
327,21.42,null
328,23.51,null
329,27.24,null
330,23.61,null
331,23.31,null
332,23.31,null
333,23.31,null
334,19.63,null
335,20.73,null
336,19.53,null
337,15.06,null
338,15.06,null
339,19.39,null
340,19.39,null
341,16.15,null
342,11.83,null
343,9.74,null
344,11.78,null
345,11.88,null
346,12.08,null
347,11.38,null
348,11.38,null
349,10.44,null
350,10.44,null
351,12.62,null
352,10.14,null
353,10.44,null
354,10.44,null
355,10.44,null
356,13.07,null
357,13.07,null
358,12.13,null
359,13.07,null
360,11.38,null
361,11.38,null
362,13.07,null
363,10.98,null
364,14.02,null
365,14.02,null
366,13.22,null
367,13.22,null
368,14.81,null
369,16.1,null
370,16.15,null
371,16.15,null
372,15.06,null
373,15.06,null
374,17.45,null
375,19.04,null
376,19.04,null
377,14.61,null
378,14.61,null
379,14.61,null
380,26.6,null
381,24.26,null
382,27.49,null
383,23.11,null
384,23.11,null
385,24.95,null
386,24.95,null
387,23.07,null
388,24.01,null
389,24.01,null
390,20.98,null
391,20.98,null
392,24.01,null
393,19.34,null
