"TOA5","Alpine_Meadow","CR3000","13614","CR3000.Std.32.05","CPU:Fool_Alpine_Meadow_Met_20240124.CR3","33024","Table3"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","SWin_Avg","SWin_Max","SWout_Avg","LWin_Avg","LWout_Avg","CNR4TC_Avg","CNR4TK_Avg","SWnet_Avg","LWnet_Avg","Albedo_Avg","TOTALnet_Avg","TOTALnet_Max","LWinCo_Avg","LWoutCo_Avg","Tair_1_Avg","Tair_1_Max","RH_1","Tair_2_Avg","RH_2","WS_1_ms_S_WVT","WindDir_1_D1_WVT","WindDir_1_SD1_WVT","WS_2_ms_S_WVT","WindDir_2_D1_WVT","WindDir_2_SD1_WVT","Tskin_C","Tskin_C_Avg","Tskin_C_Max","SBT_C_Avg","PPT_mm_Tot","Tgrd_1_C_Avg","Tgrd_2_C_Avg","Tgrd_3_C_Avg","BP_mbar","DT_Std","DT","Q","TCDT","DBTCDT","IntTemp","IntRH","Pitch","Roll","SupVolt","ResFreq","Alert"
"TS","RN","Volts","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","%","Deg C","%","meters/second","Deg","Deg","meters/second","Deg","Deg","Deg C","Deg C","Deg C","Deg C","mm","Deg C","Deg C","Deg C","mbar","","","","","","Deg C","%","degrees","degrees","volts","kHz","unitless"
"","","Min","Avg","Avg","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Avg","Avg","Avg","Max","Smp","Avg","Smp","WVc","WVc","WVc","WVc","WVc","WVc","Smp","Avg","Max","Avg","Tot","Avg","Avg","Avg","Smp","Std","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-09 21:00:00",6970,13.38,-7.99,-5.862,-5.25,1.652,-0.738,-20.83,-7.336,265.8,-7.513,20.09,-0.285,12.58,16.15,282.3,262.2,-7.02,-6.866,92.6,-6.787,90.1,1.24,347.9,73.38,1.241,355,65.55,-9.51,-9.73,-9.18,-6.851,0,0.744,1.179,2.904,663.0242,0,0,-7.2,335.1,64.93,0,0,0,0,0,0,0
"2024-11-09 22:00:00",6971,13.28,-8.1,-5.944,-4.569,1.476,-0.767,-22.36,-7.387,265.8,-7.42,21.59,-0.254,14.17,18.99,282.1,260.5,-7.031,-6.906,91.3,-6.808,88.3,1.037,333.4,87.6,1.003,2.998,83.1,-10.12,-9.99,-9.2,-6.886,0,0.745,1.179,2.902,663.2677,0,0,-7.4,335.4,64.62,0,0,0,0,0,0,0
"2024-11-09 23:00:00",6972,13.19,-8.33,-5.767,-4.326,1.661,-0.9,-23.46,-7.589,265.6,-7.428,22.56,-0.295,15.13,19.74,281.1,258.5,-7.052,-6.918,91.1,-6.832,88,0.958,185,85,0.943,152,92.7,-10.04,-10.33,-9.49,-6.992,0,0.746,1.179,2.9,663.3605,0,0,-7.8,335,65.05,0,0,0,0,0,0,0
"2024-11-10 00:00:00",6973,13.11,-8.58,-5.765,-4.278,2.203,-0.993,-23.7,-7.693,265.5,-7.969,22.71,-0.392,14.74,19.32,280.6,257.9,-7.047,-6.815,90.4,-6.829,87.4,0.889,184.3,84.1,0.873,169.3,81.1,-10.4,-10.41,-9.65,-7.014,0,0.747,1.179,2.897,663.6947,0,0,-7.3,335.8,64.18,0,0,0,0,0,0,0
"2024-11-10 01:00:00",6974,13.01,-8.63,-7.027,-5.834,2.117,-1.078,-25.95,-7.537,265.6,-9.14,24.87,-0.305,15.72,19.42,281.1,256.3,-6.928,-6.765,89.7,-6.703,86.7,0.77,115.7,100.6,0.73,66.44,98.5,-10.93,-10.52,-9.68,-6.798,0,0.747,1.18,2.895,663.999,0,0,-7.5,335.9,64.09,0,0,0,0,0,0,0
"2024-11-10 02:00:00",6975,12.92,-9.08,-6.918,-4.643,2.154,-1.175,-29.16,-8.43,264.7,-9.07,27.99,-0.33,18.92,25.02,277.3,249.3,-7.528,-7.157,89.7,-7.328,87,0.453,82.2,92.7,0.449,64.37,82.7,-11.47,-11.81,-10.86,-7.519,0,0.747,1.18,2.893,664.366,0,0,-8.1,335.9,64.12,0,0,0,0,0,0,0
"2024-11-10 03:00:00",6976,12.82,-9.58,-6.495,-5.348,2.649,-1.269,-27.15,-8.49,264.7,-9.14,25.88,-0.414,16.74,21.08,276.9,251,-7.515,-7.358,85.6,-7.302,82.9,0.555,115.5,87.8,0.553,107.1,82.8,-11.43,-11.61,-11.04,-7.543,0,0.748,1.18,2.891,664.5791,0,0,-8,335.9,64.08,0,0,0,0,0,0,0
"2024-11-10 04:00:00",6977,12.73,-9.75,-7.132,-5.299,2.614,-1.327,-30.04,-8.68,264.5,-9.75,28.71,-0.373,18.96,23.78,276.1,247.4,-7.631,-7.404,90.4,-7.397,86.9,0.453,84.4,93.8,0.466,49.16,82.5,-12.89,-12.16,-11.37,-7.665,0,0.749,1.181,2.889,664.9149,0,0,-8.3,336.3,63.69,0,0,0,0,0,0,0
"2024-11-10 05:00:00",6978,12.64,-10.38,-7.793,-5.834,2.403,-1.353,-37.69,-9.54,263.6,-10.2,36.34,-0.31,26.14,30.2,272.5,236.1,-8.15,-7.846,90.3,-7.949,87.3,0.195,12.12,52.04,0.203,28.65,39.62,-14.73,-13.91,-12.6,-8.34,0,0.75,1.18,2.886,665.3743,0,0,-9,336.4,63.55,0,0,0,0,0,0,0
"2024-11-10 06:00:00",6979,12.56,-11.58,-6.051,-2.699,3.164,-1.421,-40.74,-10.69,262.5,-9.21,39.32,-0.59,30.1,34.58,267.7,228.3,-8.46,-8.12,81.9,-8.44,82.3,0.063,195.7,36.36,0.075,120.9,24.59,-15.41,-15.46,-14.44,-9.23,0,0.751,1.18,2.884,665.5301,0,0,-9.3,336.8,63.23,0,0,0,0,0,0,0
"2024-11-10 07:00:00",6980,12.51,-12.13,-1.947,6.638,7.023,-1.6,-39.65,-9.94,263.2,-8.97,38.05,"INF",29.08,35.82,270.5,232.5,-7.462,-6.946,80.8,-7.391,77.04,0.379,153.2,46.95,0.365,144.6,37.86,-14.16,-14.53,-13.45,-8.53,0,0.751,1.18,2.882,666.0773,0,0,-8.1,338.2,61.78,0,0,0,0,0,0,0
"2024-11-10 08:00:00",6981,12.53,-11.65,87.6,291.7,32.48,-2.055,-43.08,-8.16,265,55.09,41.02,1.296,96.1,270.4,277.5,236.5,-6.069,-4.442,63.26,-6.036,63.18,0.515,168.2,28.66,0.494,160.9,30.35,-11.56,-13.3,-11.5,-6.93,0,0.752,1.181,2.88,666.7433,0,0,-3.5,338.5,61.48,0,0,0,0,0,0,0
"2024-11-10 09:00:00",6982,14.51,-8.83,369.5,482,223,-4.211,-46.1,-2.503,270.6,146.5,41.89,0.59,188.4,247.6,300.1,258.2,-2.803,-1.41,61.68,-2.158,54.17,0.754,176.2,29.35,0.713,168.8,29.23,-4.076,-7.524,-4.076,-0.857,0,0.753,1.182,2.878,667.2461,0,0,4.4,338,61.96,0,0,0,0,0,0,0
"2024-11-10 10:00:00",6983,14.06,-3.671,676.8,858,371.1,-16.39,-50.45,3.449,276.6,305.7,34.06,0.557,339.8,471.7,315.5,281.5,-0.621,0.461,56.05,0.236,53.97,0.672,195.2,35.06,0.619,191.1,37.16,-0.133,-1.691,0.228,5.332,0,0.753,1.182,2.875,667.4413,0,0,8.5,339,61.02,0,0,0,0,0,0,0
"2024-11-10 11:00:00",6984,13.84,0.531,852,883,442.4,-33.3,-54.33,7.297,280.4,409.7,21.03,0.52,430.7,483.7,317.5,296.4,0.975,1.724,59.22,1.932,53.79,0.584,204.8,53.03,0.53,202.6,57.09,3.064,1.504,3.064,8.36,0,0.753,1.182,2.873,667.5215,0,0,14.1,339.5,60.51,0,0,0,0,0,0,0
"2024-11-10 12:00:00",6985,13.69,4.027,771.8,811,464.6,-48.66,-65,10.84,284,307.2,16.34,0.602,323.5,365.9,320.2,303.8,2.066,2.731,65.23,3.209,60.29,0.453,300.4,57.88,0.426,312.5,57.79,4.162,4.023,4.502,11.35,1.27,0.753,1.182,2.87,667.2106,0,0,17.4,339.6,60.39,0,0,0,0,0,0,0
"2024-11-10 13:00:00",6986,13.55,6.366,699.1,735.9,447.3,-51.48,-67.08,11.77,284.9,251.8,15.6,0.64,267.4,291.6,322.2,306.6,2.054,2.532,56.96,3.117,52.19,0.406,295,85.1,0.417,306.6,86.2,3.553,3.926,4.475,10.79,3.81,0.753,1.182,2.868,666.9643,0,0,16.7,339.6,60.37,0,0,0,0,0,0,0
"2024-11-10 14:00:00",6987,13.42,7.248,608.8,662.9,382.2,-47.22,-64.19,10.62,283.8,226.7,16.98,0.627,243.6,261.4,320.4,303.5,2.185,2.488,61.64,3.16,55.86,0.438,247.8,87.4,0.421,245.1,86.8,1.855,2.883,3.589,9.59,3.556,0.754,1.182,2.865,667.0248,0,0,15.7,340.1,59.9,0,0,0,0,0,0,0
"2024-11-10 15:00:00",6988,13.36,6.711,463.8,547.6,274.1,-43.2,-62.77,8.32,281.5,189.7,19.57,0.589,209.3,234.2,312.7,293.2,1.501,2.023,63.63,2.047,62.86,0.392,284.2,84.9,0.377,298.2,86.9,-0.246,1.01,2.109,8.13,2.54,0.754,1.182,2.863,667.2386,0,0,14,339.6,60.39,0,0,0,0,0,0,0
"2024-11-10 16:00:00",6989,13.37,5.758,259.2,371.8,108.8,-34.15,-57.27,4.325,277.5,150.4,23.13,0.392,173.5,201,302,278.9,0.768,1.127,56.36,1.017,57.53,0.545,201.9,74.32,0.512,191.1,72.9,-5.332,-2.385,-0.113,5.052,1.016,0.755,1.182,2.861,667.4559,0,0,5.9,338.6,61.38,0,0,0,0,0,0,0
"2024-11-10 17:00:00",6990,13.57,0.982,16.61,107.4,12.6,-27.61,-44.65,-2.061,271.1,4.007,17.03,0.336,21.04,103.5,278.7,261.6,-1.587,-0.103,59.38,-1.735,62.84,0.605,158.6,48.4,0.588,151.8,48.46,-9.66,-7.401,-4.953,-0.918,0,0.755,1.182,2.859,667.4422,0,0,-3.3,338.8,61.21,0,0,0,0,0,0,0
"2024-11-10 18:00:00",6991,13.41,-3.703,-3.079,-1.628,1.368,-28.67,-40.47,-5.191,268,-4.447,11.8,-0.49,7.349,14.99,263.7,251.9,-3.473,-2.994,47.65,-3.686,52.47,0.642,144.3,45.24,0.673,140.1,43.01,-10.16,-9.96,-8.96,-3.858,0,0.756,1.182,2.857,667.3917,0,0,-4.9,338.7,61.27,0,0,0,0,0,0,0
"2024-11-10 19:00:00",6992,13.3,-6.158,-3.001,-1.069,2.631,-33.24,-43.52,-6.464,266.7,-5.631,10.28,-0.943,4.649,10.87,253.6,243.3,-4.234,-3.89,50.91,-4.63,53.98,0.407,81.1,52.16,0.461,89.6,46.91,-11.38,-11.61,-10.37,-4.987,0,0.757,1.182,2.856,667.6727,0,0,-5.1,337.7,62.33,0,0,0,0,0,0,0
"2024-11-10 20:00:00",6993,13.19,-7.781,-4.681,1.313,2.338,-32.22,-47.56,-7.337,265.8,-7.019,15.34,-0.626,8.32,13.7,250.9,235.5,-4.679,-4.062,47.35,-5.128,53.92,0.31,17.28,55.16,0.281,29.63,58.79,-12.68,-12.89,-11.57,-5.588,0,0.758,1.182,2.854,667.7984,0,0,-5.8,337.2,62.84,0,0,0,0,0,0,0
